dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
08/11/1990,8. nov.,1990,Isa Holm; Søren Hansen; Christen Frost,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
09/11/1990,9. nov.,1990,N/A,Restaurant Aakrogen,Aakrogs Strandvej,"56.204044, 10.283115",56.204044,10.283115,underholdningsmusik,spil til dans
09/11/1990,9. nov.,1990,Bullet With My Name On,Café 8,Nørreport 8,"56.1606502,10.210863",56.1606502,10.210863,N/A,koncert
09/11/1990,9. nov.,1990,Dusty Boots & Big Joe,Hos Anders,Telefontorvet,"56.1558067,10.2038908",56.1558067,10.2038908,folk/folkemusik/spillemandsmusik,koncert
09/11/1990,9. nov.,1990,Rattle Snakes,Avalon,Europaplads 10-14,"56.1526796,10.2096311",56.1526796,10.2096311,folk/folkemusik/spillemandsmusik,koncert
09/11/1990,9. nov.,1990,Rock Store,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,N/A,koncert
09/11/1990,9. nov.,1990,The Shoes,Eifel,Store Torv 11,"56.1573931,10.205416",56.1573931,10.205416,pop/rock/beat,koncert
09/11/1990,9. nov.,1990,Who Cares,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,pop/rock/beat,koncert
09/11/1990,9. nov.,1990,Rockstore,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,pop/rock/beat,koncert
09/11/1990,9. nov.,1990,Michael Halskov,Jacobs Bar BQ,Vestergade 3,"56.1575734,10.2038332",56.1575734,10.2038332,N/A,koncert
09/11/1990,9. nov.,1990,Isa Holm; Søren Hansen; Christen Frost,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
09/11/1990,9. nov.,1990,N/A,Aarhus Sejlklub,Kystpromenaden 7,"56.1661391,10.219344",56.1661391,10.219344,N/A,N/A
09/11/1990,9. nov.,1990,Singing Zoo,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,N/A,koncert
09/11/1990,9. nov.,1990,N/A,Jazzbar Bent J,Nørre Allé 66,"56.1598911,10.2008777",56.1598911,10.2008777,jazz,jamsession
09/11/1990,9. nov.,1990,Payin Dues,Fru Jensen,Mejlgade 20,"56.1582695,10.2074661",56.1582695,10.2074661,jazz,koncert
09/11/1990,9. nov.,1990,Peter Fahrenholtz,Holme Kro,Holme Byvej 22,"56.1139882,10.1709166",56.1139882,10.1709166,jazz,koncert
09/11/1990,9. nov.,1990,Rudolf Steiner Vestskolens symfoniorkester,City Vest,Gudrunsvej 7,"56.1542887,10.1326861",56.1542887,10.1326861,klassisk,koncert
09/11/1990,9. nov.,1990,Trouble Cats,Huset,Vester Allé 15,"56.1561067,10.1954298",56.1561067,10.1954298,N/A,koncert
09/11/1990,9. nov.,1990,Kruse & Nørgaard,Under Bøgen,Grenåvej 664,"56.2614072,10.3082109",56.2614072,10.3082109,N/A,koncert
09/11/1990,9. nov.,1990,The Backroom Boys & Girls,Vestergade 58,Vestergade 58,"56.1575526,10.1983342",56.1575526,10.1983342,N/A,koncert
10/11/1990,10. nov.,1990,Shot Gun Wedding,Vestergade 58,Vestergade 58,"56.1575526,10.1983342",56.1575526,10.1983342,N/A,koncert
10/11/1990,10. nov.,1990,Power Flower; Tomcats; Inside Out; Damien & the danskers,Musikcaféen,Mejlgade 51-53,"56.1598092,10.2101701",56.1598092,10.2101701,N/A,koncert
